Comunidades y Ciudades Autónomas;Forma de conexión;Total
Ceuta;Otro tipo de conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);1,9
Melilla;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;12.947
Melilla;Viviendas con conexión de banda ancha;100,0
Melilla;Conexión de banda ancha por ADSL;85,6
Melilla;Conexión de banda ancha por red de cable o fibra óptica;11,6
Melilla;Conexión móvil de banda ancha (teléfono móvil de últimas generaciones, iPod, portatiles via modem USB o tarjeta);8,6
Melilla;Otras conexiones de banda ancha (vía satélite, WiFi público o WiMax);0,0
Melilla;Viviendas con conexión de banda estrecha;3,0
Melilla;Conexión de banda estrecha por llamada  telefónica a través de su línea de teléfono convencional (módem) o RDSI;0,0
Melilla;Otro tipo de conexión móvil de banda estrecha (otros teléfonos móviles -GPRS-);3,0
