Clase de población;Comunidades y Ciudades Autónomas;Competencias digitales;Total
Usuarios de Internet en los últimos 3 meses;Cataluña;HABILIDADES DIGITALES: Habilidad Avanzada;44,0
Usuarios de Internet en los últimos 3 meses;Cataluña;HABILIDADES DE INFORMACIÓN: Avanzada;82,2
Usuarios de Internet en los últimos 3 meses;Cataluña;HABILIDADES DE COMUNICACIÓN: Avanzada;75,7
Usuarios de Internet en los últimos 3 meses;Cataluña;HABILIDADES DE RESOLUCIÓN: Avanzada;69,7
Usuarios de Internet en los últimos 3 meses;Cataluña;COMPETENCIAS INFORMÁTICAS: Avanzada;51,5
Usuarios de Internet en los últimos 3 meses;Comunitat Valenciana;HABILIDADES DIGITALES: Habilidad Avanzada;37,3
Usuarios de Internet en los últimos 3 meses;Comunitat Valenciana;HABILIDADES DE INFORMACIÓN: Avanzada;80,3
Usuarios de Internet en los últimos 3 meses;Comunitat Valenciana;HABILIDADES DE COMUNICACIÓN: Avanzada;73,0
Usuarios de Internet en los últimos 3 meses;Comunitat Valenciana;HABILIDADES DE RESOLUCIÓN: Avanzada;67,1
Usuarios de Internet en los últimos 3 meses;Comunitat Valenciana;COMPETENCIAS INFORMÁTICAS: Avanzada;45,9
Usuarios de Internet en los últimos 3 meses;Extremadura;HABILIDADES DIGITALES: Habilidad Avanzada;39,4
Usuarios de Internet en los últimos 3 meses;Extremadura;HABILIDADES DE INFORMACIÓN: Avanzada;79,2
Usuarios de Internet en los últimos 3 meses;Extremadura;HABILIDADES DE COMUNICACIÓN: Avanzada;74,0
Usuarios de Internet en los últimos 3 meses;Extremadura;HABILIDADES DE RESOLUCIÓN: Avanzada;61,6
Usuarios de Internet en los últimos 3 meses;Extremadura;COMPETENCIAS INFORMÁTICAS: Avanzada;46,1
Usuarios de Internet en los últimos 3 meses;Galicia;HABILIDADES DIGITALES: Habilidad Avanzada;34,6
Usuarios de Internet en los últimos 3 meses;Galicia;HABILIDADES DE INFORMACIÓN: Avanzada;77,9
Usuarios de Internet en los últimos 3 meses;Galicia;HABILIDADES DE COMUNICACIÓN: Avanzada;68,9
Usuarios de Internet en los últimos 3 meses;Galicia;HABILIDADES DE RESOLUCIÓN: Avanzada;62,7
